node,lv1_relation_text
File Input/output (I/O),"['File Input/output (I/O) is subclass of File Processing', 'File Input/output (I/O) use knowledge of append mode', 'File Input/output (I/O) use knowledge of write mode', 'File Input/output (I/O) use knowledge of filename', 'File Input/output (I/O) use knowledge of close()', 'File Input/output (I/O) use knowledge of readlines()', 'File Input/output (I/O) use knowledge of write (str)', 'File Input/output (I/O) use knowledge of read()']"
File Management,['File Management is subclass of System Programs']
File Management Commands,"['File Management Commands use knowledge of rm command', 'File Management Commands use knowledge of ls command']"
File Manipulation,"['File Manipulation is subclass of UNIX command', 'File Manipulation use knowledge of rm -rf linux', 'File Manipulation use knowledge of rmdir linux', 'File Manipulation use knowledge of rm Your_surname', 'File Manipulation use knowledge of mv Your_name Your_nickname', 'File Manipulation use knowledge of cp Your_name Your_surname', 'File Manipulation use knowledge of touch Your_name', 'File Manipulation use knowledge of mkdir linux', 'File Manipulation use knowledge of rm [-option] file', 'File Manipulation use knowledge of mv [-option] source destination', 'File Manipulation use knowledge of cp [-option] source_file destination_file', 'File Manipulation use knowledge of touch [filename]', 'File Manipulation use knowledge of rmdir [-option] directory', 'File Manipulation use knowledge of mkdir directory']"
File Modification,['File Modification is subclass of File Management']
File Operations,"['File Operations use knowledge of Close', 'File Operations use knowledge of Open', 'File Operations use knowledge of Truncate', 'File Operations use knowledge of Delete', 'File Operations use knowledge of Reposition within file - seek', 'File Operations use knowledge of Read', 'File Operations use knowledge of Write', 'File Operations use knowledge of Create', 'File Operations use knowledge of abstract data type']"
File Organization Module,['File Organization Module is subclass of Logical File System']
File Owner,['File Owner is subclass of File Structure']
File Processing,"['File Processing is subclass of Programming', 'File Processing use knowledge of line-based file processing', 'File Processing use knowledge of filename', 'File Processing use knowledge of File Input/output (I/O)', 'File Processing use knowledge of Data']"
File Server,"['File Server use knowledge of SAMBA', 'File Server use knowledge of Map Drive']"
File Sharing,"['File Sharing use knowledge of File Sharing - Consistency Semantics', 'File Sharing use knowledge of remote computing', 'File Sharing use knowledge of Group IDs', 'File Sharing use knowledge of User IDs', 'File Sharing use knowledge of Network File System (NFS)', 'File Sharing use knowledge of distributed systems', 'File Sharing use knowledge of protection scheme', 'File Sharing use knowledge of multi-user systems']"
File Sharing - Consistency Semantics,"['File Sharing - Consistency Semantics use knowledge of session semantics', 'File Sharing - Consistency Semantics use knowledge of Unix file system (UFS)', 'File Sharing - Consistency Semantics use knowledge of Andrew File System (AFS)', 'File Sharing - Consistency Semantics use knowledge of process synchronization', 'File Sharing - Consistency Semantics use knowledge of Consistency semantics']"
File Structure,"['File Structure is subclass of File-System Structure', 'File Structure use knowledge of Extension', 'File Structure use knowledge of List of file extensions', 'File Structure use knowledge of Relocatable load file', 'File Structure use knowledge of Formatted document', 'File Structure use knowledge of Complex Structures', 'File Structure use knowledge of Variable length', 'File Structure use knowledge of Fixed length', 'File Structure use knowledge of Lines', 'File Structure use knowledge of Simple record structure', 'File Structure use knowledge of bytes', 'File Structure use knowledge of sequence of words']"
File System,"['File System is subclass of Operating Systems', 'File System use knowledge of File Management', 'File System use knowledge of Protection', 'File System use knowledge of File Sharing', 'File System use knowledge of Example File Systems', 'File System use knowledge of Organize the Directory (Logically) to Obtain', 'File System use knowledge of Operations Performed on Directory', 'File System use knowledge of Directory Implementation', 'File System use knowledge of Partitions and Mounting', 'File System use knowledge of Open Files', 'File System use knowledge of File Operations', 'File System use knowledge of File Attributes', 'File System use knowledge of File Structure', 'File System use knowledge of File Concept']"
File System Implementation,['File System Implementation is subclass of File System']
File System Layers,['File System Layers is subclass of File System Implementation']
File Systems,"['File Systems is synonym of File System', 'File Systems is subclass of Data Structures']"
File Transfer Protocol,['File Transfer Protocol is synonym of FTP']
File file,['File file is subclass of File Class']
File inputFile,['File inputFile is synonym of File file']
File permissions,['File permissions is subclass of File Structure']
File-Organization Module,['File-Organization Module is subclass of File System Layers']
File-System Structure,['File-System Structure is subclass of File System']
File-System management,"['File-System management is subclass of Operating System', 'File-System management use knowledge of Non-volatile storage media', 'File-System management use knowledge of Stable storage', 'File-System management use knowledge of Secondary storage', 'File-System management use knowledge of Access control', 'File-System management use knowledge of Directories']"
FileNotFoundError,"['FileNotFoundError is subclass of Common Exceptions', 'FileNotFoundError is subclass of File access']"
File_SD,['File_SD is subclass of Service Discovery']
FinTech Application,['FinTech Application is synonym of Finance Application']
Final,"['Final is subclass of Programming Skill Development', 'Final is subclass of Object-Oriented Programming']"
Final Exam,"['Final Exam is synonym of Tests', 'Final Exam is synonym of Final']"
Final Examination,"['Final Examination is synonym of Midterm Examination', 'Final Examination is subclass of CN351']"
Finance,['Finance is synonym of Financial Services']
Finance Application,"['Finance Application is subclass of App', 'Finance Application is subclass of Application', 'Finance Application use knowledge of Back Office', 'Finance Application use knowledge of Front Office', 'Finance Application use knowledge of Credit', 'Finance Application use knowledge of Analysis']"
Financial Management,['Financial Management is synonym of Budget Management']
Financial Plan,['Financial Plan is synonym of Budget']
Financial Product,"['Financial Product is subclass of Finance', 'Financial Product use knowledge of Trading Business', 'Financial Product use knowledge of Single Block Trade', 'Financial Product use knowledge of Structure Note']"
Financial Software,['Financial Software is synonym of Finance Application']
Financial Technology,"['Financial Technology is synonym of Fintech', 'Financial Technology is synonym of FinTech']"
Financial Transactions,['Financial Transactions is synonym of Payments']
Finding an average,['Finding an average is subclass of Accumulation']
Finding maximum or minimum values,['Finding maximum or minimum values is subclass of Accumulation']
Fine-tuning LLMs,"['Fine-tuning LLMs is synonym of Fine-tuning LLMs', 'Fine-tuning LLMs use knowledge of Large Language Models (LLMs)']"
Finger,['Finger is subclass of System and Network Threats']
Fingerprint Web Server,['Fingerprint Web Server is subclass of Information Gathering']
Firewall,"['Firewall is subclass of Cybersecurity', 'Firewall is subclass of Network Security', 'Firewall is subclass of System Infrastructure', 'Firewall use knowledge of Network']"
Firewall Configuration,"['Firewall Configuration use knowledge of sudo ufw status', ""Firewall Configuration use knowledge of sudo ufw allow 'Apache'"", 'Firewall Configuration use knowledge of TLS/SSL encrypted traffic', 'Firewall Configuration use knowledge of port 443', 'Firewall Configuration use knowledge of port 80', 'Firewall Configuration use knowledge of Apache firewall', 'Firewall Configuration use knowledge of sudo ufw app list', 'Firewall Configuration use knowledge of ufw']"
Firewalling,['Firewalling is subclass of Security Defenses']
First Normal Form (1NF),"['First Normal Form (1NF) is subclass of Normal Forms', 'First Normal Form (1NF) use knowledge of Attributes']"
"First-Come, First-Served","['First-Come, First-Served is synonym of FCFS']"
"First-In, First-Out Algorithm","['First-In, First-Out Algorithm is synonym of FIFO Algorithm']"
Fixed Allocation,['Fixed Allocation is subclass of Allocation of Page Frames']
Fixed Value,['Fixed Value is synonym of Constant']
Fixed-Size Chunking,"['Fixed-Size Chunking is synonym of Fixed-Size Chunking', 'Fixed-Size Chunking is subclass of Document chunking']"
Flexibility,['Flexibility is subclass of Operating System']
Float,['Float is subclass of Data Types']
Flow Diagram,"['Flow Diagram use knowledge of Screen Flow', 'Flow Diagram use knowledge of Journey']"
Flow of Control,"['Flow of Control is subclass of Object-Oriented Programming (OOP)', 'Flow of Control is subclass of Object-Oriented Programming']"
Flutter,"['Flutter is subclass of Mobile Development', 'Flutter use knowledge of Mobile applications', 'Flutter use knowledge of Dart']"
Focus groups,['Focus groups is subclass of Research techniques']
Folder,['Folder is subclass of File Management']
For Loop,['For Loop is synonym of Loops']
For Loops,"['For Loops is synonym of Definite Loops', 'For Loops is subclass of Programming Skill Development']"
For Statements,['For Statements is synonym of For Loops']
For loops,"['For loops is subclass of Control Structure', 'For loops is subclass of Repetition', 'For loops use knowledge of Range', 'For loops use knowledge of Variables']"
For statements,['For statements is synonym of For loops']
Foreign Keys,['Foreign Keys is subclass of Relational Database Constraints']
Formal Diagram,['Formal Diagram is synonym of ERD']
Formal technical reviews,['Formal technical reviews is subclass of Software quality assurance']
Formatting numeric output,"['Formatting numeric output is subclass of Java Programming', 'Formatting numeric output use knowledge of DecimalFormat', 'Formatting numeric output use knowledge of Format Method', 'Formatting numeric output use knowledge of Pattern Characters', 'Formatting numeric output use knowledge of NumberFormat class']"
Forms-based Interfaces,['Forms-based Interfaces is subclass of Interfaces']
Four-Dimensional Array,"['Four-Dimensional Array is subclass of Multidimensional Arrays', 'Four-Dimensional Array use knowledge of General Pattern for Processing a Four-Dimensional Array', 'Four-Dimensional Array use knowledge of Structure of an n-Dimensional Array']"
Four-Dimensional Arrays,['Four-Dimensional Arrays is synonym of Four-Dimensional Array']
Fourth Normal Form (4NF),"['Fourth Normal Form (4NF) is subclass of Normal Forms', 'Fourth Normal Form (4NF) use knowledge of Multi-valued dependency', 'Fourth Normal Form (4NF) use knowledge of Boyce-Codd Normal Form (BCNF)']"
